User_ID,Age,Gender,Height_cm,Initial_Weight_kg,Stress_Level,Sleep_Hours,Caffeine_mg,Calories_Consumed,Protein_g,Carbs_g,Fat_g,Steps,Workout_Type,Workout_Intensity,Temp_C,Weight_Change,Current_Weight_kg
275,23,Female,169.35532512087542,111.48532989231006,10,7.016452525420302,211.42646882269187,2801.7642911138546,175.1,315.2,93.4,8172,Strength,6,18.823955081095367,0.3171579950306528,111.80248788734072
296,43,Female,174.4249386989791,109.69933413232731,1,7.320226934467933,211.97973874566136,2666.0016159321904,166.6,299.9,88.9,7988,None,0,36.987431555379004,0.21187719447804526,109.91121132680536
125,47,Male,163.24631954298286,110.96028582368307,3,7.238640775244314,160.4000673204173,1707.0840115054903,106.7,192.0,56.9,7976,Yoga,10,35.97703347424045,0.12239045025070315,111.08267627393377
167,42,Female,164.99733258324335,85.54609748143105,7,5.06069747489606,301.6298563146562,2647.4585466634676,165.5,297.8,88.2,8203,Cardio,10,33.14180472868095,0.30844920286376853,85.85454668429482
311,54,Male,167.69616802008267,135.71050501073168,5,9.866790673788962,335.19912557013294,2036.5671633681961,127.3,229.1,67.9,8024,None,0,19.065076353069866,0.12022068436727956,135.83072569509895
507,49,Female,172.8556380058134,137.71077386681256,9,3.8335477514952254,349.8044513589136,2012.347399564289,125.8,226.4,67.1,8076,None,0,37.13537198504383,0.28699340532317874,137.99776727213575
203,21,Female,174.0311223678617,114.59635101862425,5,8.264720551052644,49.148717314732295,2593.930028640901,162.1,291.8,86.5,8020,None,0,24.3053058138037,0.21883995270203593,114.81519097132629
448,58,Male,160.35665184549168,128.55622158077205,6,5.430234925899095,189.03175944834067,2193.6183448445468,137.1,246.8,73.1,8083,None,0,31.03542333336903,0.21997700993669975,128.77619859070876
285,38,Female,173.4982659553695,128.64720479427302,7,6.340005559163236,247.98801708390042,1831.2018202163977,114.5,206.0,61.0,8189,None,0,23.027797281996182,0.15198846522596327,128.799193259499
498,39,Male,162.88946243232618,117.69982137945112,1,4.634465335389002,358.07492869213684,2016.5575951640212,126.0,226.9,67.2,7915,None,0,18.91311132595125,0.037770547343698405,117.73759192679482
123,64,Male,158.5584065753977,115.76771182515154,1,7.285700670537484,261.1467364479824,1826.7473796741276,114.2,205.5,60.9,7974,Cardio,9,30.30158777742401,0.06957058559804571,115.83728241074958
172,30,Male,171.40034182408624,95.25746565535847,1,6.468892443076875,257.6150419965606,,123.1,221.7,65.7,8103,Strength,9,17.65528934777393,0.02391930660755641,95.28138496196603
445,26,Male,155.2695727654575,91.98074299749716,3,7.1916325199014555,285.4418295316833,3109.6896612462533,194.4,349.8,103.7,7996,Strength,9,14.627410255835473,0.19763224538042234,92.17837524287758
466,26,Male,178.5884904822253,119.10707983050732,10,4.751836965413651,350.5566476727399,1415.4917169954992,88.5,159.2,47.2,7842,None,0,31.42717165002727,0.20288867863916227,119.30996850914647
